author,average word length (# chars),average sentence length (# words),type-token ratio,lexical density,percent nouns,percent prepositions,percent pronouns
"Alcott, Louisa May",0.021125639801749807,0.04770482433889595,0.032139675491882624,0.11696457598078147,0.051217453552437786,0.00909584019665019,0.017290521589459304
"Austen, Jane",0.00504494946309203,0.050834819143617344,0.05879049798988317,0.2549187063479827,0.06142770343651231,0.0028536983757037546,0.023110946477094677
"Balzac, Honoré de",0.005260863976228186,0.04849889289163729,0.04719616384022848,0.16121103215741328,0.029657805376704677,0.008418436322078435,0.04061856199354876
"Zola, Émile",0.003722469025019326,0.04378807046666695,0.04908335787666537,0.17492213017035363,0.05827786747599345,0.007926460025155471,0.028951161841238096
Voltaire,0.005451898977363603,0.04826043000456567,0.01106355342120744,0.2366617622617277,0.055864437855489654,0.018070620191625975,0.040891191286646277
"Twain, Mark",0.01061026591572764,0.04298329254572266,0.08102245696687113,0.15970038550037768,0.07405484456261925,0.007005305489753824,0.035640089931202906
"Barrie, J. M",0.016188826657664884,0.03795654993134681,0.02422109828135803,0.15280675016872225,0.06068558343974645,0.010557865025533686,0.04172771697721868
"Hardy, Thomas",0.009470305983252714,0.040249967436683395,0.03905704513795681,0.2012083773880251,0.144452023472952,0.006046505213787454,0.027230326631741027
"Stevenson, Robert Louis",0.01284893263390302,0.04759136045109129,0.03145679854525235,0.18790287227656,0.08400519394408124,0.008785894679242082,0.049508764581065574
"Chekhov, Anton Pavlovich",0.01694828829439396,0.03247993054893912,0.030167230320903432,0.09146512654814287,0.02865104495222437,0.014168231475560636,0.059885845883053485
"Baum, L. Frank",0.01524746436726708,0.03436312311758177,0.01662510720592006,0.057863191770727906,0.06208570220176251,0.019045682721248076,0.023770941060422823
"Bierce, Ambrose",0.005320346461786446,0.04016565226902575,0.08512545325296017,0.15258570598187227,0.023402530646673664,0.013246512997051443,0.06002441463718714
"Poe, Edgar Allan",0.004584329724736741,0.050173531175124866,0.0372704996095303,0.16543890708631248,0.15772401617648066,0.01659313644111539,0.0635769460025783
"Blake, William",0.012723669355079958,0.043906283816358145,0.16267444487439228,0.21709603523111598,0.03464970662506195,0.018613912455725842,0.05284486655696127
"Brontë, Charlotte",0.006407106339231222,0.054130214208604796,0.04634286783212738,0.18013080697520023,0.026456775561711887,0.013186987727163438,0.19217331293060902
"Townsend, F. H",0.008031807455343348,0.03016140610928096,0.02412067762221702,0.08770411383906085,0.10388042397864652,0.015579394529057378,0.05606077689248459
"Buckley, Theodore Alois",0.00629574624653767,0.009632154170130199,0.07143332028774345,0.0451428358130016,0.015661429973794674,0.008407482760450703,0.09351300302561392
"Pope, Alexander",0.0031253818710830494,0.04356418173315432,0.04085211306794992,0.11258826513356501,0.1566626349274909,0.008526918888075177,0.050969835327998286
Homer,0.012873925167334543,0.042066670544344764,0.04088060247874599,0.1395573922144142,0.1270943322529138,0.0075153954114918625,0.04751372787684832
"Burnett, Frances Hodgson",0.02143373243770666,0.030997458523959808,0.04958755790052893,0.1391263545474028,0.06207308811867863,0.017916351391494716,0.05442563747822992
"Burroughs, Edgar Rice",0.0082467563343607,0.041339692633628196,0.025046168078641726,0.1781599419337384,0.04371229180216882,0.015163591411154156,0.026938704393308338
"Burton, Richard Francis, Sir",0.014483965511840849,0.05074147655808764,0.03734558241182154,0.09181507192414268,0.030267394607735698,0.010597361375664381,0.022716641302437425
"Byron, George Gordon Byron, Baron",0.006373590868856194,0.037654269198620346,0.017002215943129118,0.11467777063015416,0.02546713969151379,0.009474576645803909,0.045141085483885776
"Carroll, Lewis",0.02255256589245555,0.03782905433480903,0.042109639005097566,0.09267678454514644,0.04716033103324131,0.02026562526074581,0.05002073606870343
"Doré, Gustave",0.015409643146788582,0.057878048787191355,0.09566623638676996,0.21910839933953763,0.052394771494554654,0.008479879141658292,0.04590168192605429
Dante Alighieri,0.01088130541182196,0.04846060698292179,0.02688558802380469,0.13382628730543178,0.039482022580977036,0.012576919086292604,0.03416986708935153
"Cary, Henry Francis",0.007358928100216516,0.05208376383598017,0.0007070978069799172,0.2630747305674379,0.0394569523693461,0.03359850971530133,0.042066485249458524
"Cervantes Saavedra, Miguel de",0.00785931602003924,0.056864140148586165,0.06449653768634167,0.23837761712117572,0.04991772029342853,0.004260584590589471,0.06010084494105228
"Tolstoy, Leo, graf",0.011167031672871225,0.04782510416135607,0.036949436089269996,0.19589386928113706,0.13525999433956715,0.014901461124725124,0.04960333416185632
"Garnett, Constance",0.011951743557220479,0.029531996189837595,0.021169926962236227,0.1445157463012975,0.04689221672051952,0.006496121326071941,0.024530195296553578
"Dostoyevsky, Fyodor",0.014813829964604786,0.035208631938578865,0.04259193904097957,0.20044341616819877,0.10016659834568889,0.005682773176010479,0.05998901968929246
"Chesterton, G. K",0.006160207702053888,0.04626834641397222,0.020526432348591903,0.20183936423404858,0.0417706858785422,0.013695709599719524,0.03171516231221275
"Hugo, Victor",0.0034742882665494412,0.03531004800594596,0.027984535631081504,0.1475077780362653,0.0639109341809524,0.005401765915375126,0.02905877617547285
"Christie, Agatha",0.02284110531915534,0.023981604765121706,0.025297126710295097,0.021691823598981474,0.03538328495931432,0.021319318595313816,0.06978117637123533
"Collins, Wilkie",0.013945584154480939,0.03455545963636353,0.056673416557842096,0.18222958931741717,0.03130180591268761,0.0066253841511466904,0.049586064681070394
"Dickens, Charles",0.011305482279383633,0.047818903884571475,0.0554240877951068,0.17603260569648682,0.13280290461364236,0.00621421823062436,0.06576565537108424
"Conrad, Joseph",0.010603611957177517,0.03136920778533482,0.03908336558577277,0.14028479682933737,0.07489915682785381,0.012827909365901627,0.045379523687556544
"Russell, Bertrand",0.014023461973354523,0.049872519414947566,0.03136178535916585,0.21888574588161674,0.06367642993775335,0.02628689847523283,0.042146695118383155
"Morley, Henry",0.007597043964665928,0.0573853611620757,0.03594251230618997,0.21365866575537873,0.07108971288255045,0.015418277642245418,0.02140956182567591
"Darwin, Charles",0.015215476664331012,0.044688942442797364,0.05294498815644392,0.09967207310687576,0.07624186410336295,0.03340308316490399,0.04506530771538725
"Defoe, Daniel",0.0065458960419451095,0.06677722821821913,0.06502150957915118,0.3474752181415892,0.1562379229919922,0.01782698098445422,0.060491159705888226
"Dick, Philip K",0.018906280906325734,0.025392942296498133,0.08123028045044628,0.13632021453655796,0.10021608944432416,0.03154325372450252,0.07267482054846658
"Kipling, Rudyard",0.016618782768461682,0.038777637451317876,0.03206710164445625,0.10199517917852224,0.1320800483579667,0.010285863287842,0.0533541377126361
"Leech, John",0.007952501733109754,0.041912300362268354,0.08439556440480905,0.17518016501719616,0.13295605459355667,0.01743012564792787,0.057910619200705046
