,author,average word length (# chars),average sentence length (# words),type-token ratio,lexical density,percent nouns,percent prepositions,percent pronouns,sum of squares
0,"Alcott, Louisa May",0.684928225250713,0.6793774209068976,0.11928839758365124,0.22713868304898913,0.09852377337085871,0.18593021189420258,0.0,1.0407790345327592
1,"Austen, Jane",0.11718247226973988,0.7319951723548811,0.2204297656872213,0.5560335528770652,0.12681581067962644,0.0,0.01899709019727885,0.9237543969584102
2,"Balzac, Honoré de",0.12480556215322053,0.6927263573580948,0.17642861644561736,0.33262615490526387,0.03878318156583896,0.1657528673945251,0.07613961115170312,0.67198883875918
3,"Zola, Émile",0.07049090391640854,0.6135336113833169,0.183590623799666,0.3653146274008881,0.11808778957110336,0.15109872146870523,0.038058773869179975,0.5867767739158994
4,Voltaire,0.13155025459373185,0.6887176028059864,0.0393033306797738,0.5125073805709195,0.11140030967192087,0.45325556175571713,0.07702943678666602,0.9796301402298505
5,"Twain, Mark",0.3136718463846782,0.6000046417661162,0.3048012985629404,0.32902463942834803,0.16180491984923753,0.1236609504491795,0.059890542631992345,0.7046163821620349
6,"Barrie, J. M",0.5106288241188578,0.5155010211603437,0.08923695235841306,0.31258960200676394,0.12475943724367056,0.22947849932924808,0.07975974502067552,0.7067455075488533
7,"Hardy, Thomas",0.2734243572159304,0.5540552296466408,0.1455402038734774,0.42798336978585794,0.35687160624539116,0.09510185269263129,0.03244219736135219,0.7235439942738976
8,"Stevenson, Robert Louis",0.39271033881360534,0.6774700009208254,0.11669684122047498,0.3962618667037542,0.18937678725031762,0.17669808654678293,0.10515604615216431,0.861972207494043
9,"Chekhov, Anton Pavlovich",0.5374424191651075,0.42343460718289705,0.11180285738626775,0.1663457362955136,0.035993504152084896,0.33701790140061144,0.1390254548781738,0.6425166786913096
10,"Baum, L. Frank",0.4773930344149187,0.4550926017444403,0.06040973963242895,0.08623574658246252,0.12863908883901978,0.48229905162555287,0.02115122445229437,0.6957070907735723
11,"Bierce, Ambrose",0.1269056541170132,0.5526378232891563,0.32037239989499294,0.3120626130803232,0.02145016150776321,0.3095633326112672,0.1394777248020403,0.6372787599156974
12,"Poe, Edgar Allan",0.10091980601083282,0.7208783852250137,0.1387601632597992,0.34270578333457175,0.3936475634445974,0.4092468104837023,0.15107271315424214,1.0118164111254717
13,"Blake, William",0.388287786481676,0.6155208736760537,0.6146751782888823,0.4658609537644435,0.052615463631774835,0.4694382196770096,0.11604463785584632,1.3610923411903597
14,"Brontë, Charlotte",0.16527485916576204,0.7873934363362989,0.17319031017333872,0.37773257440361035,0.029913305120061576,0.30779029599005525,0.570794095825783,1.2414165559196888
