book,chars,words,sentences,pauses,function words,content words,NN,IN,PRP,DT,NNP,RB,VBD,JJ,VB,CC
"The Abbot's Ghost, or Maurice Treherne's Temptation: A Christmas Story",110810,27236.0,1084,2759,15375,11861,4059,2809,2725,2326,1622,1473,2002,1909,1337,1466
Aunt Jo's Scrap-Bag,167159,41078.0,1729,4345,22260,18818,5438,4565,3514,3729,1371,2598,3099,3252,1898,2420
Flower Fables,147686,34954.0,1158,4137,19886,15068,4268,3580,2656,3140,1332,2042,2530,2923,1615,2195
A Garland for Girls,299868,74507.0,2394,6828,41315,33192,9794,8425,5834,6748,3673,4368,5057,6165,3780,4194
Hospital Sketches,134065,31194.0,952,3949,17472,13722,4603,4018,1983,3303,1111,1623,1992,2268,1099,1497
Jack and Jill,389070,97536.0,3254,9572,53909,43627,12652,11188,7341,8940,5510,5980,6963,7117,5108,4824
Jo's Boys,423571,102736.0,4328,9699,55982,46754,13967,11767,7890,9186,4770,5934,6666,7635,5250,5781
Kitty's Class Day and Other Stories,331631,81703.0,3756,8699,46187,35516,11192,9058,7229,7203,3202,4611,5591,5736,3618,4020
Little Men,436084,110859.0,3695,11251,62156,48703,13965,11792,9481,9481,7497,6684,8701,7687,5693,5898
Little Men: Life at Plumfield with Jo's Boys,435898,111420.0,3651,11654,60627,50793,15202,11953,9455,9522,8410,6113,8997,8660,5276,5933
Little Women,793581,196838.0,9449,19113,111315,85523,24083,20846,17747,15529,9434,12662,13944,13199,9655,10019
"Little Women; Or, Meg, Jo, Beth, and Amy",828289,204672.0,9173,23483,116147,88525,25012,21690,17992,16413,10205,12884,14249,14009,9849,10307
"Aunt Jo's Scrap-Bag VIAn Old-Fashioned Thanksgiving, Etc.",229791,57753.0,2707,6530,32524,25229,7032,5992,4777,5303,2519,3542,4559,3990,2654,3225
The Louisa Alcott Reader: a Supplementary Reader for the Fourth Year of School,166198,42393.0,1917,4249,23527,18866,5259,4493,3366,4058,1479,2453,3427,3106,2188,2447
"Louisa May Alcott : Her Life, Letters, and Journals",484216,117553.0,6204,11356,67866,49687,15492,13225,7828,10231,9075,5899,6170,9178,4689,6923
"Lulu's Library, Volume 1",206671,52819.0,2513,5254,28772,24047,6902,5540,4128,5031,2411,2868,4265,4257,2546,3005
"Lulu's Library, Volume 2",222611,55375.0,2435,5121,30406,24969,6463,5827,4168,5329,2259,3039,4260,4033,2788,3442
"Lulu's Library, Volume 3",204866,50799.0,2053,4653,27604,23195,7189,5597,3588,4891,2226,2799,3961,4218,2256,2756
Marjorie's Three Gifts,33802,8402.0,276,869,4671,3731,1139,922,656,769,393,556,635,683,424,410
May Flowers,51259,13103.0,481,1314,7183,5920,1519,1394,1214,1066,524,757,1015,960,694,864
"A Modern Cinderella; Or, The Little Old Shoe, and Other Stories",175422,41950.0,1479,4703,23316,18634,5936,4950,3250,3812,1759,2332,2978,2936,1745,2020
A Modern Mephistopheles and A Whisper in the Dark,313506,76032.0,2466,9519,41578,34454,11451,8591,7261,6506,3659,4668,5287,5919,3780,3536
Moods,375980,89479.0,3872,8285,48724,40755,12707,10223,7909,8201,2863,5301,6069,5905,3991,4280
"Aunt Jo's Scrap-Bag, Vol. 5Jimmy's Cruise in the Pinafore, Etc.",166920,41071.0,1641,4158,22866,18205,5650,4731,3054,4017,1715,2258,3172,3104,1638,2094
Mountain-Laurel and Maidenhair,44689,11024.0,458,978,6262,4762,1472,1196,904,1014,339,668,612,915,533,631
The Mysterious Key and What It Opened,84026,20857.0,1115,2095,11788,9069,3082,2230,2023,1838,824,1048,1549,1404,819,1025
An Old-Fashioned Girl,428052,108925.0,3630,11674,61450,47475,13623,11471,9949,8284,6992,7371,7881,7746,6063,5374
"On Picket Duty, and Other Tales",131927,33378.0,915,3881,18700,14678,4806,3698,3236,2889,1470,1958,2327,2462,1598,1670
Pauline's Passion and Punishment,73103,17499.0,554,1630,9577,7922,2840,1999,1700,1630,694,921,1105,1191,826,751
Rose in BloomA Sequel to 'Eight Cousins',402861,99874.0,4116,10360,55083,44791,11855,11428,9201,8085,4017,6964,6435,6742,5082,4512
"Rose in Bloom
A Sequel to ""Eight Cousins""",397788,99578.0,3151,7966,55233,44345,12900,11508,9171,7843,5309,6929,6382,7284,5514,4580
Shawl-StrapsA Second Series of Aunt Jo's Scrap-Bag,199082,44307.0,1813,4849,24969,19338,6438,5689,1999,5003,2217,2117,3057,3751,1423,2370
"Silver Pitchers: and Independence, a Centennial Love Story",362749,88723.0,3846,8804,49587,39136,12397,10258,7309,8363,2941,5230,6123,6262,3982,4152
Spinning-Wheel Stories,312595,76272.0,3172,7776,42723,33549,10561,8632,5437,7410,3120,4191,5663,5423,3465,4074
"Behind a Mask; or, a Woman's Power",171683,43122.0,1858,4251,23726,19396,6365,4502,4606,3225,3062,2470,3284,3056,2160,2042
Three Unpublished Poems,12205,2758.0,96,240,1607,1151,454,340,104,288,246,112,97,219,104,157
Under the Lilacs,346113,86470.0,3668,8474,48639,37831,10573,9632,6855,7751,4276,5492,6341,5597,4247,3861
Work: A Story of Experience,513120,124333.0,4834,12027,68413,55920,16566,13901,10890,10586,4776,7503,8938,8848,5709,6473
Bronson Alcott's Fruitlands,184397,42127.0,2407,3500,24087,18040,5933,5157,2541,4053,4904,1978,2123,3109,1596,2100
The Candy Country,46087,11693.0,666,1101,6858,4835,1425,1241,881,1049,783,658,847,825,551,628
Comic TragediesWritten by 'Jo' and 'Meg' and Acted by The 'Little Women',179316,44357.0,4939,4406,28504,15853,8223,3230,3352,2934,4094,2684,1212,3854,3062,2161
Eight Cousins,305429,77329.0,2381,7505,43184,34145,9914,8516,6844,6637,4786,4881,5152,5501,4179,3639
"Eight Cousins; Or, The Aunt-Hill",313464,78408.0,3384,7897,44057,34351,9199,8537,6861,6807,4101,4847,5149,5094,3831,3605
The Complete Project Gutenberg Works of Jane AustenA Linked Index of all PG Editions of Jane Austen,1659,371.0,16,15,201,170,55,40,16,50,33,8,1,23,19,13
Emma,694713,165632.0,5911,17646,86831,78801,20058,18027,15386,12592,11492,12806,9104,11087,9301,7037
Pride and Prejudice,544083,126124.0,4672,11198,65313,60811,16189,15231,11269,9143,8169,8624,7876,7724,6518,5092
"Pride and Prejudice, a play founded on Jane Austen's novel",122661,27775.0,3292,2181,16653,11122,3512,2494,2724,1849,4534,1835,482,2002,1838,815
Sense and Sensibility,533659,123497.0,4836,12717,63002,60495,15503,15371,10864,9554,6049,8610,7471,7127,6083,4871
Lady Susan,100879,23389.0,915,2041,11875,11514,2826,2857,2428,1478,1419,1701,774,1375,1308,910
"The Letters of Jane Austen
Selected from the compilation of her great nephew, Edward, Lord Bradbourne",330060,79506.0,4269,6676,41356,38150,8911,9258,7571,5786,6738,5818,2701,4774,3933,3526
Love and Freindship [sic],147132,34186.0,1110,2179,17802,16384,3062,4150,3261,2719,3739,2118,1742,2189,1507,1280
Mansfield Park,699683,164216.0,5722,15451,83075,81141,21270,19545,13431,13093,9579,11481,9374,10286,8990,7501
Northanger Abbey,343838,80192.0,2749,7760,41632,38560,10802,9726,6744,6634,4358,5922,4658,5476,3855,3278
Old Friends and New Fancies: An Imaginary Sequel to the Novels of Jane Austen,494844,113874.0,4081,10443,58834,55040,12423,13117,9963,8450,8185,7796,7612,6224,5956,4614
Persuasion,369110,85413.0,3655,8619,43607,41806,10118,10148,6983,6964,5089,6019,5360,5360,4155,3810
Adieu,68750,16085.0,770,1540,8933,7152,2768,1947,1037,1982,803,666,1242,1159,546,495
Albert Savarus,187309,43236.0,1724,3957,23673,19563,6488,5517,2724,4754,3849,1755,2469,2775,1767,1333
Bureaucracy,353081,79876.0,3206,7129,44271,35605,12321,9574,5010,8541,7307,3201,4103,5934,3409,2692
Rise and Fall of Cesar Birotteau,496910,113567.0,4494,11256,63203,50364,17696,13978,7167,12301,9639,4054,6335,8068,4522,3531
Sarrasine,61387,13815.0,609,1290,7713,6102,2379,1831,936,1550,809,602,938,1090,443,428
Scenes from a Courtesan's Life,858554,204237.0,7621,19316,112700,91537,31316,24615,13560,22161,19193,8279,10442,13279,8826,6348
A Second Home,117943,27339.0,853,2335,14634,12705,4604,3602,1540,3193,1655,1188,1583,2022,1083,871
The Secrets of the Princesse de Cadignan,96298,21272.0,797,2136,11493,9779,3299,2729,1481,2372,1322,979,1210,1561,760,680
Seraphita,233530,52876.0,2101,4961,28911,23965,7708,6895,3448,6163,3272,2081,2147,3545,2034,1733
Sons of the Soil,529996,122308.0,4199,11760,66252,56056,19104,15878,7031,14667,9398,4840,6684,8922,4448,4109
A Start in Life,266527,62275.0,2495,6215,34803,27472,9951,7533,3909,6594,6144,2454,3847,4277,2331,1965
"The Stepmother, A Drama in Five Acts",129836,30751.0,2673,2540,17006,13745,3642,3134,3723,2559,3359,1658,602,1350,1760,838
A Street of Paris and Its Inhabitant,18331,4343.0,283,348,2542,1801,581,511,297,495,453,178,233,220,122,95
Catherine De Medici,513445,117164.0,4263,10928,63382,53782,17805,15407,6335,14631,10566,4493,6784,7182,4203,3524
Study of a Woman,16599,3790.0,193,332,2160,1630,470,468,279,403,316,186,197,225,141,96
The Thirteen,577612,134614.0,5484,12784,71685,62929,21518,17188,9460,15131,7271,6187,6801,9322,5660,4571
The Two Brothers,482992,112558.0,4258,11004,61365,51193,17390,14148,7104,12160,10006,4390,7176,7551,4405,3495
Two Poets,250040,57580.0,2183,4901,31059,26521,9415,7908,3413,6190,4329,2396,3588,4066,2286,2133
Unconscious Comedians,99052,23504.0,850,2382,13492,10012,3521,2672,1608,2453,2617,851,1174,1580,942,692
The Unknown Masterpiece1845,46274,10718.0,501,937,5694,5024,1930,1432,758,1218,417,481,544,772,432,425
Ursula,368283,86468.0,3151,7619,47202,39266,13994,10281,5848,9272,6495,3474,5248,6011,3683,2756
Vautrin: A Drama in Five Acts,122855,28684.0,2294,2150,16119,12565,3671,2858,3055,2849,2960,1317,530,1293,1579,832
Vendetta,113885,26202.0,1142,2691,14422,11780,4313,3210,1755,2822,1664,1192,2040,1793,936,813
El Verdugo,17951,4056.0,232,340,2254,1802,610,538,246,553,176,120,311,261,122,112
The Celibates,851159,193440.0,9019,17884,106783,86657,27323,24044,11952,21365,12593,8050,12179,11893,7018,6038
The Vicar of Tours,116902,26097.0,844,2074,13898,12199,4010,3433,1560,2990,1787,1173,1653,1886,1012,819
The Village Rector,424134,95264.0,3534,8303,51541,43723,15443,12431,5207,11811,5254,3963,5784,6741,3258,3051
A Woman of Thirty,313676,73234.0,3086,5978,39239,33995,12732,9568,4505,8289,3485,3557,4462,5618,2712,2695
The Works Of Balzac: A linked index to all Project Gutenberg editions,5925,1181.0,12,47,1053,128,47,96,,131,769,2,5,18,3,7
"The Works of Honoré de Balzac: About Catherine de' Medici, Seraphita, and Other Stories",1235858,282932.0,12806,26592,153188,129744,40787,37295,16255,33776,17462,11820,14440,17410,9661,9237
Z. Marcas,44131,10239.0,436,938,5359,4880,1576,1383,677,1199,518,459,659,672,363,354
The Chouans,489081,114876.0,4342,9979,62617,52259,17671,14032,8544,13254,7421,4812,7797,7627,4583,3678
Christ in Flanders,31068,7244.0,325,640,4005,3239,1275,1065,349,1010,174,262,470,567,196,288
The Collection of Antiquities,251678,57932.0,2371,4927,31074,26858,9164,7609,3305,6633,5093,2383,3566,4094,2199,1938
Colonel Chabert,106008,25477.0,1026,2349,13937,11540,4019,3065,1882,2847,1884,1040,1540,1580,1075,727
The Commission in Lunacy,127403,29226.0,966,2787,15754,13472,4829,3781,1577,3437,2329,1103,1438,1916,1107,879
The Country Doctor,435422,104153.0,3956,8420,53583,50570,16359,13764,7672,11702,4021,5061,5907,6956,4375,3912
Cousin Betty,681660,164242.0,6280,16860,90246,73996,25256,19344,12421,16387,14287,7077,8483,10938,7338,5203
The Alkahest,322729,72599.0,2595,6751,39033,33566,11681,8982,4808,7706,4064,3053,4727,5058,2802,2420
